2016/7/31登戸駅adesso in giappone イタリアの勝手に親善大使,2016-08-01 00:00:57,
登戸もドンドン綺麗になってつまらない街になってきております。数十年前は昼から酔っぱらいが多かったのにな。立ち飲みも皆無！#bman#bbramone#川崎 #登戸#やさぐれジジイが皆無 @ 登戸駅 https://t.co/PJ32PMEnVV,2016-08-01 15:22:28,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/kVVdLvCcYZ,2016-08-01 16:43:06,
I'm at JR 登戸駅 in 川崎市 神奈川県 https://t.co/fItwvX250V,2016-08-01 16:52:48,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/xxby3RZ2d8,2016-08-01 16:53:00,
Aug. 2016 NoboritoNight.SnapCanon PowerShot S110#today #noborito #japan #night #snapshot… https://t.co/k7w9x9R0na,2016-08-01 20:33:39,
Aug. 2016 NoboritoNight.SnapCanon PowerShot S110#today #noborito #japan #night… https://t.co/lEbjKRMWO1,2016-08-01 21:06:25,
Aug. 2016 NoboritoNight.SnapCanon PowerShot S110#today #noborito #japan #night #snapshot… https://t.co/OyAv0MKryc,2016-08-01 22:37:55,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/pNdWjNndgx,2016-08-01 23:58:46,
????????????? ????????? (@ Noborito Station in 川崎市 神奈川県) https://t.co/lco0oSxvLj https://t.co/LPappFP1Qg,2016-08-02 13:58:53,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/vBi1OHNtTk,2016-08-02 14:12:42,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/vBi1OHNtTk,2016-08-02 14:12:42,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/pPu0RGw9Nq,2016-08-02 15:39:49,
I'm at JR 登戸駅 in 川崎市 神奈川県 https://t.co/lNhHHF4k6k,2016-08-02 16:52:50,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/2szHUvRHSf,2016-08-02 16:53:02,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/LcgLPMOI7e,2016-08-02 17:44:46,
,2016-08-02 18:23:43,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/R2xKhbs0MG,2016-08-02 20:20:41,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/wyd4hSEMcd,2016-08-03 12:13:47,
下手っぴバイオリン。ブランク長すぎたのぉぉぉ。まだまだ音階がぜ?んぜん,2016-08-03 14:51:31,
I'm at JR 登戸駅 in 川崎市 神奈川県 https://t.co/YKZcU4txlI,2016-08-03 16:02:23,
I'm at 登戸駅 in 川崎市 神奈川県 https://t.co/zxjSAkyaAf,2016-08-03 16:02:36,
